Transaction Date,Customer ID,Product,Channel,Payment Method,Amount,Quantity,Returned
2023-01-01 00:00:00.000000000,CUST-0382,Monitor,Social Media,Apple Pay,28.76,1,False
2023-01-01 11:41:16.050700466,CUST-0434,Laptop,Mobile App,Apple Pay,20.54,1,True
2023-01-01 23:22:32.101400933,CUST-0024,Tablet,Mobile App,PayPal,13.93,2,False
2023-01-02 11:03:48.152101400,CUST-0258,Mouse,Mobile App,PayPal,53.37,3,False
2023-01-02 22:45:04.202801867,CUST-0483,Mouse,Email,Debit Card,63.5,1,False
2023-01-03 10:26:20.253502334,CUST-0092,Monitor,Web,Debit Card,110.94,4,False
2023-01-03 22:07:36.304202801,CUST-0467,Laptop,Social Media,Debit Card,47.04,4,False
2023-01-04 09:48:52.354903268,CUST-0161,Monitor,Email,PayPal,45.67,2,True
2023-01-04 21:30:08.405603735,CUST-0149,Phone,Social Media,Apple Pay,41.33,4,False
2023-01-05 09:11:24.456304202,CUST-0117,Mouse,Email,Apple Pay,63.61,4,False
2023-01-05 20:52:40.507004669,CUST-0458,Webcam,Web,Credit Card,47.77,4,False
2023-01-06 08:33:56.557705136,CUST-0053,Keyboard,Social Media,Debit Card,139.64,1,False
2023-01-06 20:15:12.608405603,CUST-0302,Case,Mobile App,Apple Pay,74.5,3,False
2023-01-07 07:56:28.659106070,CUST-0045,Tablet,Email,Apple Pay,60.83,2,False
2023-01-07 19:37:44.709806537,CUST-0265,Webcam,Social Media,Apple Pay,52.37,3,False
2023-01-08 07:19:00.760507004,CUST-0486,Webcam,Web,Apple Pay,21.29,3,True
2023-01-08 19:00:16.811207471,CUST-0262,Headphones,Social Media,PayPal,54.56,3,False
2023-01-09 06:41:32.861907938,CUST-0307,Webcam,Email,Debit Card,28.6,1,False
2023-01-09 18:22:48.912608405,CUST-0234,Keyboard,Web,Apple Pay,77.21,4,False
2023-01-10 06:04:04.963308872,CUST-0375,Keyboard,Mobile App,Apple Pay,44.31,2,False
2023-01-10 17:45:21.014009339,CUST-0035,Tablet,Email,Apple Pay,288.39,3,False
2023-01-11 05:26:37.064709806,CUST-0338,Monitor,Email,Apple Pay,15.46,4,False
2023-01-11 17:07:53.115410273,CUST-0437,Charger,Web,Credit Card,2.46,1,False
2023-01-12 04:49:09.166110740,CUST-0403,Charger,Email,Apple Pay,71.35,3,True
2023-01-12 16:30:25.216811207,CUST-0197,Laptop,Social Media,Apple Pay,28.7,4,False
2023-01-13 04:11:41.267511674,CUST-0025,Laptop,Mobile App,Apple Pay,64.14,1,False
2023-01-13 15:52:57.318212141,CUST-0395,Case,Social Media,Credit Card,15.87,4,True
2023-01-14 03:34:13.368912608,CUST-0202,Keyboard,Web,PayPal,368.32,2,False
2023-01-14 15:15:29.419613075,CUST-0273,Laptop,Email,Credit Card,37.1,4,False
2023-01-15 02:56:45.470313542,CUST-0036,Headphones,Mobile App,Apple Pay,26.9,4,False
2023-01-15 14:38:01.521014009,CUST-0474,Laptop,Web,PayPal,361.58,2,False
2023-01-16 02:19:17.571714476,CUST-0223,Phone,Social Media,Apple Pay,126.51,2,False
2023-01-16 14:00:33.622414943,CUST-0352,Phone,Email,PayPal,219.1,4,False
2023-01-17 01:41:49.673115410,CUST-0277,Headphones,Email,Apple Pay,45.96,2,False
2023-01-17 13:23:05.723815877,CUST-0018,Webcam,Web,Apple Pay,57.22,4,False
2023-01-18 01:04:21.774516344,CUST-0188,Phone,Social Media,PayPal,30.06,3,False
2023-01-18 12:45:37.825216811,CUST-0402,Charger,Email,PayPal,26.75,4,False
2023-01-19 00:26:53.875917278,CUST-0257,Charger,Social Media,Apple Pay,81.31,1,False
2023-01-19 12:08:09.926617745,CUST-0142,Phone,Mobile App,Credit Card,37.77,2,False
2023-01-19 23:49:25.977318212,CUST-0136,Laptop,Email,Credit Card,503.12,3,False
2023-01-20 11:30:42.028018679,CUST-0450,Case,Mobile App,Credit Card,126.79,2,False
2023-01-20 23:11:58.078719146,CUST-0307,Case,Email,Credit Card,358.98,2,False
2023-01-21 10:53:14.129419613,CUST-0079,Charger,Web,PayPal,5.88,2,False
2023-01-21 22:34:30.180120080,CUST-0444,Phone,Email,PayPal,363.37,1,False
2023-01-22 10:15:46.230820547,CUST-0418,Webcam,Email,Credit Card,5.03,1,False
2023-01-22 21:57:02.281521014,CUST-0292,Tablet,Social Media,Debit Card,15.47,4,False
2023-01-23 09:38:18.332221481,CUST-0062,Laptop,Social Media,Debit Card,9.46,1,False
2023-01-23 21:19:34.382921948,CUST-0129,Laptop,Mobile App,Debit Card,69.62,2,False
