Employee ID,Hire Date,Department,Title,Salary,Performance Score,Years Experience,Satisfaction Score,Left Company
EMP-0000,2015-01-01 00:00:00.000000000,Marketing,Manager,73400.0,4.7,16,3.1,False
EMP-0001,2015-01-07 22:47:51.342685370,Marketing,Analyst,42000.0,3.2,3,4.0,False
EMP-0002,2015-01-14 21:35:42.685370741,Sales,Director,35700.0,4.7,13,3.0,False
EMP-0003,2015-01-21 20:23:34.028056112,Finance,Analyst,114400.0,3.4,6,5.0,False
EMP-0004,2015-01-28 19:11:25.370741483,HR,VP,40000.0,4.0,14,3.5,False
EMP-0005,2015-02-04 17:59:16.713426854,Finance,Analyst,91300.0,3.6,15,2.6,False
EMP-0006,2015-02-11 16:47:08.056112224,Operations,Manager,52500.0,3.8,7,5.0,True
EMP-0007,2015-02-18 15:34:59.398797595,Finance,Manager,63800.0,2.7,1,3.4,True
EMP-0008,2015-02-25 14:22:50.741482966,Sales,Manager,102100.0,4.4,18,3.9,False
EMP-0009,2015-03-04 13:10:42.084168337,Finance,VP,89100.0,3.2,0,2.6,False
EMP-0010,2015-03-11 11:58:33.426853708,HR,Senior Manager,81800.0,4.2,22,3.8,False
EMP-0011,2015-03-18 10:46:24.769539078,Operations,VP,113600.0,2.3,3,5.0,False
EMP-0012,2015-03-25 09:34:16.112224449,Engineering,Senior Manager,77800.0,2.9,23,4.3,False
EMP-0013,2015-04-01 08:22:07.454909820,Operations,VP,115700.0,3.8,20,2.6,False
EMP-0014,2015-04-08 07:09:58.797595190,Engineering,Senior Analyst,58300.0,3.4,24,3.3,False
EMP-0015,2015-04-15 05:57:50.140280561,HR,Senior Manager,55300.0,3.9,21,4.4,True
EMP-0016,2015-04-22 04:45:41.482965932,Operations,Director,81500.0,3.7,10,4.2,False
EMP-0017,2015-04-29 03:33:32.825651302,Operations,Director,85100.0,5.0,9,3.5,False
EMP-0018,2015-05-06 02:21:24.168336674,Operations,Manager,63500.0,3.9,17,4.1,False
EMP-0019,2015-05-13 01:09:15.511022044,Operations,VP,78100.0,3.2,0,3.0,False
EMP-0020,2015-05-19 23:57:06.853707416,Sales,Analyst,119100.0,3.2,16,2.9,False
EMP-0021,2015-05-26 22:44:58.196392786,Marketing,Manager,75100.0,4.5,15,2.1,False
EMP-0022,2015-06-02 21:32:49.539078156,Operations,Analyst,36600.0,2.3,11,4.4,True
EMP-0023,2015-06-09 20:20:40.881763528,Sales,VP,41400.0,3.9,15,3.7,False
EMP-0024,2015-06-16 19:08:32.224448898,HR,Manager,137200.0,2.6,8,3.8,False
EMP-0025,2015-06-23 17:56:23.567134268,Operations,Manager,121300.0,4.4,16,1.7,False
EMP-0026,2015-06-30 16:44:14.909819640,Finance,Director,74100.0,3.2,2,3.8,True
EMP-0027,2015-07-07 15:32:06.252505010,Operations,Analyst,105300.0,3.9,17,4.2,True
EMP-0028,2015-07-14 14:19:57.595190380,Operations,Senior Analyst,91500.0,3.5,14,2.3,False
EMP-0029,2015-07-21 13:07:48.937875752,Engineering,Senior Analyst,116800.0,2.4,14,3.8,False
EMP-0030,2015-07-28 11:55:40.280561122,Finance,Manager,58200.0,4.0,15,3.8,False
EMP-0031,2015-08-04 10:43:31.623246492,Operations,VP,58900.0,2.9,19,3.5,False
EMP-0032,2015-08-11 09:31:22.965931864,Operations,Manager,118000.0,4.1,0,4.7,False
EMP-0033,2015-08-18 08:19:14.308617236,Operations,Director,47700.0,2.7,0,4.5,False
EMP-0034,2015-08-25 07:07:05.651302604,Sales,Analyst,86700.0,3.7,3,5.0,False
EMP-0035,2015-09-01 05:54:56.993987976,HR,Manager,83900.0,3.5,12,3.0,False
EMP-0036,2015-09-08 04:42:48.336673348,Engineering,VP,104600.0,3.0,3,4.1,False
EMP-0037,2015-09-15 03:30:39.679358716,Operations,Senior Analyst,88500.0,4.6,22,4.8,False
EMP-0038,2015-09-22 02:18:31.022044088,HR,Analyst,81700.0,3.5,7,3.3,False
EMP-0039,2015-09-29 01:06:22.364729460,Engineering,Manager,75500.0,3.2,12,5.0,False
EMP-0040,2015-10-05 23:54:13.707414832,Engineering,Analyst,60100.0,3.7,23,4.1,True
EMP-0041,2015-10-12 22:42:05.050100200,Engineering,Director,80800.0,2.3,7,2.6,True
EMP-0042,2015-10-19 21:29:56.392785572,Operations,Senior Analyst,114100.0,5.0,13,2.9,False
EMP-0043,2015-10-26 20:17:47.735470944,Sales,VP,77900.0,2.6,24,3.4,True
EMP-0044,2015-11-02 19:05:39.078156312,Operations,Analyst,120200.0,3.9,0,3.7,False
EMP-0045,2015-11-09 17:53:30.420841684,Operations,Senior Analyst,103300.0,3.5,8,4.7,False
EMP-0046,2015-11-16 16:41:21.763527056,HR,Manager,96900.0,4.4,23,3.7,False
EMP-0047,2015-11-23 15:29:13.106212424,Marketing,VP,81000.0,3.6,0,4.6,False
EMP-0048,2015-11-30 14:17:04.448897796,Marketing,VP,69300.0,3.0,6,3.9,True
EMP-0049,2015-12-07 13:04:55.791583168,Marketing,Senior Manager,127000.0,2.0,24,3.8,False
EMP-0050,2015-12-14 11:52:47.134268536,HR,Analyst,104800.0,2.1,19,3.6,False
EMP-0051,2015-12-21 10:40:38.476953908,Finance,Senior Analyst,81500.0,3.3,12,4.5,False
EMP-0052,2015-12-28 09:28:29.819639280,HR,Analyst,127500.0,4.6,14,3.9,False
EMP-0053,2016-01-04 08:16:21.162324648,Engineering,Manager,100700.0,2.2,8,3.3,True
EMP-0054,2016-01-11 07:04:12.505010020,Operations,Manager,49500.0,5.0,15,4.0,False
EMP-0055,2016-01-18 05:52:03.847695392,Finance,VP,74300.0,4.4,16,3.5,False
EMP-0056,2016-01-25 04:39:55.190380760,Engineering,VP,103200.0,2.4,8,3.4,True
EMP-0057,2016-02-01 03:27:46.533066132,Operations,Senior Analyst,122700.0,2.6,5,4.6,False
EMP-0058,2016-02-08 02:15:37.875751504,Operations,Director,144000.0,2.7,19,3.7,False
EMP-0059,2016-02-15 01:03:29.218436876,Engineering,Analyst,85600.0,3.7,11,5.0,False
EMP-0060,2016-02-21 23:51:20.561122244,HR,Analyst,100400.0,3.5,15,4.3,False
EMP-0061,2016-02-28 22:39:11.903807616,Marketing,Manager,69700.0,3.4,20,3.3,False
EMP-0062,2016-03-06 21:27:03.246492984,Finance,Analyst,62800.0,3.1,14,3.2,False
EMP-0063,2016-03-13 20:14:54.589178360,Operations,Senior Analyst,42900.0,3.6,6,2.9,False
EMP-0064,2016-03-20 19:02:45.931863728,Sales,Senior Manager,94700.0,4.2,9,4.2,False
EMP-0065,2016-03-27 17:50:37.274549096,Operations,VP,116600.0,3.4,3,3.2,False
EMP-0066,2016-04-03 16:38:28.617234472,Marketing,Manager,104400.0,3.0,23,2.2,False
EMP-0067,2016-04-10 15:26:19.959919840,Operations,VP,87200.0,4.3,2,2.6,False
EMP-0068,2016-04-17 14:14:11.302605208,Sales,VP,115600.0,3.3,17,3.0,False
EMP-0069,2016-04-24 13:02:02.645290584,HR,VP,158800.0,3.9,0,4.0,False
EMP-0070,2016-05-01 11:49:53.987975952,Operations,Senior Manager,64200.0,3.4,12,3.7,False
EMP-0071,2016-05-08 10:37:45.330661320,Finance,Analyst,24400.0,4.4,21,4.5,False
EMP-0072,2016-05-15 09:25:36.673346696,HR,Director,93600.0,4.5,17,3.2,False
EMP-0073,2016-05-22 08:13:28.016032064,Sales,VP,112100.0,4.5,7,3.6,False
EMP-0074,2016-05-29 07:01:19.358717432,Engineering,Senior Analyst,46300.0,3.1,10,5.0,False
EMP-0075,2016-06-05 05:49:10.701402808,Operations,VP,105800.0,3.1,9,3.6,False
EMP-0076,2016-06-12 04:37:02.044088176,HR,VP,76600.0,4.2,3,4.0,False
EMP-0077,2016-06-19 03:24:53.386773544,Operations,Analyst,93400.0,3.4,24,3.3,False
EMP-0078,2016-06-26 02:12:44.729458920,Finance,Senior Analyst,62000.0,3.5,3,3.6,False
EMP-0079,2016-07-03 01:00:36.072144288,Operations,Analyst,60500.0,2.9,3,4.1,False
EMP-0080,2016-07-09 23:48:27.414829664,HR,VP,57400.0,4.6,11,4.3,False
EMP-0081,2016-07-16 22:36:18.757515032,Marketing,Analyst,101700.0,4.3,7,3.9,True
EMP-0082,2016-07-23 21:24:10.100200400,HR,Analyst,69400.0,3.4,12,3.6,False
EMP-0083,2016-07-30 20:12:01.442885776,Sales,Manager,91700.0,3.0,7,3.9,False
EMP-0084,2016-08-06 18:59:52.785571144,HR,Senior Manager,85700.0,2.9,20,3.3,False
EMP-0085,2016-08-13 17:47:44.128256512,Finance,Director,55500.0,3.6,2,3.6,False
EMP-0086,2016-08-20 16:35:35.470941888,HR,Senior Manager,86900.0,3.8,11,4.0,False
EMP-0087,2016-08-27 15:23:26.813627256,HR,Senior Manager,90900.0,2.8,17,4.5,False
