Order ID,Order Date,Region,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-00000,2021-01-01 00:00:00.000000000,West,Consumer,Office Supplies,Binders,58.14,4,0.0,114.71
ORD-00001,2021-01-01 17:31:43.551775887,Central,Corporate,Technology,Copiers,89.25,9,0.1,-51.39
ORD-00002,2021-01-02 11:03:27.103551775,South,Home Office,Office Supplies,Paper,23.03,5,0.0,183.29
ORD-00003,2021-01-03 04:35:10.655327663,West,Corporate,Office Supplies,Envelopes,435.85,3,0.1,-42.33
ORD-00004,2021-01-03 22:06:54.207103551,East,Consumer,Technology,Phones,80.09,8,0.3,1.89
ORD-00005,2021-01-04 15:38:37.758879439,South,Home Office,Technology,Accessories,115.58,6,0.1,-16.47
ORD-00006,2021-01-05 09:10:21.310655327,East,Consumer,Office Supplies,Paper,442.1,2,0.0,-120.9
ORD-00007,2021-01-06 02:42:04.862431215,Central,Home Office,Furniture,Bookcases,94.42,3,0.0,-49.31
ORD-00008,2021-01-06 20:13:48.414207103,West,Consumer,Office Supplies,Envelopes,369.04,8,0.0,-21.19
ORD-00009,2021-01-07 13:45:31.965982991,Central,Home Office,Office Supplies,Art,42.7,10,0.15,36.99
ORD-00010,2021-01-08 07:17:15.517758879,West,Home Office,Office Supplies,Envelopes,468.93,7,0.1,-250.15
ORD-00011,2021-01-09 00:48:59.069534767,East,Consumer,Office Supplies,Binders,223.7,10,0.2,121.66
ORD-00012,2021-01-09 18:20:42.621310655,Central,Home Office,Technology,Computers,133.45,6,0.1,120.67
ORD-00013,2021-01-10 11:52:26.173086543,Central,Corporate,Office Supplies,Binders,173.66,1,0.0,168.15
ORD-00014,2021-01-11 05:24:09.724862431,East,Consumer,Furniture,Bookcases,31.69,9,0.3,-99.17
ORD-00015,2021-01-11 22:55:53.276638319,Central,Corporate,Technology,Computers,168.95,3,0.2,20.72
ORD-00016,2021-01-12 16:27:36.828414207,South,Consumer,Furniture,Chairs,125.21,5,0.0,144.14
ORD-00017,2021-01-13 09:59:20.380190095,West,Home Office,Furniture,Furnishings,32.74,7,0.0,152.75
ORD-00018,2021-01-14 03:31:03.931965983,West,Home Office,Furniture,Furnishings,66.33,7,0.1,197.89
ORD-00019,2021-01-14 21:02:47.483741871,West,Home Office,Furniture,Chairs,127.09,3,0.0,60.27
ORD-00020,2021-01-15 14:34:31.035517759,South,Consumer,Technology,Accessories,71.61,4,0.0,44.4
ORD-00021,2021-01-16 08:06:14.587293646,West,Corporate,Technology,Accessories,8.21,10,0.15,-105.79
